# Costco Wholesale Corporation (COST) daily historical prices from Yahoo Finance
# Generated on: 2026-02-17T15:42:33
# Period: Last 2 years from today
Price	Close	High	Low	Open	Volume
Ticker	COST	COST	COST	COST	COST
Date					
2025-06-25	982.441101	1000.804489	981.903367	998.832735	1827700
2025-06-26	978.826172	983.626153	972.442831	983.626153	2262800
2025-06-27	981.047058	989.013821	976.227140	978.159082	2129200
2025-06-30	985.827026	987.619536	975.679361	981.066857	2127600
2025-07-01	981.863586	992.698387	970.451178	985.886779	2200600
2025-07-02	978.278564	981.604714	972.811384	979.782301	1606100
2025-07-03	982.919189	983.566452	973.269447	978.328297	1101400
2025-07-07	988.057739	988.764811	972.144152	980.907578	1832600
2025-07-08	981.744080	991.732376	979.841981	985.388846	1716200
2025-07-09	978.009705	984.283518	968.240465	984.283518	2922600
2025-07-10	966.139160	983.895098	965.043755	982.899253	2897000
2025-07-11	966.298584	974.912609	961.687815	969.246247	1942000
2025-07-14	976.834473	977.412080	965.591402	967.065234	1679300
2025-07-15	963.659485	976.177266	962.643703	975.181421	1878000
2025-07-16	947.417236	965.561567	946.182398	963.968179	2950300
2025-07-17	949.946716	950.783253	943.573343	946.411478	2280600
2025-07-18	946.999084	956.270402	945.704498	955.961692	2115500
2025-07-21	943.623108	951.789051	942.667075	947.556709	1742400
2025-07-22	937.697876	953.721054	937.339386	944.858006	1799900
2025-07-23	937.279541	944.559167	932.111102	938.464599	2401600
2025-07-24	929.920227	938.982455	929.611517	937.418971	2057100
2025-07-25	931.593262	937.379120	930.467952	932.409862	1827700
2025-07-28	930.109497	936.333530	927.022401	931.613233	2006300
2025-07-29	930.687134	937.877108	923.527004	930.109527	2065900
2025-07-30	923.656433	933.853879	921.296285	931.115304	1699600
2025-07-31	935.736023	942.019804	921.156834	921.515324	2564400
2025-08-01	949.876709	954.065005	936.892821	936.892821	2934500
2025-08-04	952.718750	957.515399	946.027349	949.956418	2389900
2025-08-05	941.011292	948.859446	933.083342	948.689935	2462300
2025-08-06	965.872131	967.856599	940.043983	941.011322	2753000
2025-08-07	974.737488	979.274849	968.265508	971.975155	1893300
2025-08-08	978.257690	985.457686	974.288755	974.438363	2189700
2025-08-11	985.996094	986.833789	973.610578	980.431562	2290100
2025-08-12	988.499146	988.997758	977.330215	985.756777	1588500
2025-08-13	976.133545	983.662641	967.407827	981.229410	2352600
2025-08-14	972.683228	985.547392	972.473788	977.878730	1808700
2025-08-15	969.342407	977.280339	964.535776	976.422740	1638300
2025-08-18	976.632141	978.556839	967.308113	970.598943	2078500
2025-08-19	978.128052	985.786793	974.079321	975.904260	1673400
2025-08-20	991.809998	996.526852	976.283198	976.283198	2229600
2025-08-21	966.989014	986.574525	964.835035	986.155708	2145600
